Last update,Country,Registration authority,Vessel name,National registration number,Vessel registration number,IRCS (if applicable),MMSI (if applicable),Operational status (Activity indicator),Port of registration,GSA 1,GSA 2 (if any),GSA 3 (if any),Year of entry into fishing activity (if any),Licence indicator,Fishing gear 1,Fishing gear 2 (if any),Fishing gear 3 (if any),LOA,GT,Engine Power (kW),Fleet segment,Construction year,VMS indicator,IMO number (if applicable),Previous vessel name (if any),Previous flag State (if any),Previous deletion from other registers (if any),Period authorized for fishing and/or transshipping - Starting date (if applicable),Period authorized for fishing and/or transshipping - Ending date (if applicable),Power of auxiliary engine(s) (if any),Hull material,Powered/motorized (indicator),Fish hold capacity (m3),Lights for fishing,Navigation equipment,Communication equipment,Fish finder,Deck machinery,Refrigeration equipment,Fish processing equipment,Safety equipment,Period authorized for fishing with demersal trawl gear (starting date),Period authorized for fishing with demersal trawl gear (ending date),Notes,Main fishing gear
2025-08-18,Spain,DGMM,ELI HERMI II,3TA-3-2621,ESP000006061,EGLX,224126630.0,Yes,Llansa,07,06,NOT REPORTED,1976,Yes,OTB,NK,NK,26.9,113.0,538.24,T-12,1973.0,Yes,7393846,,,,,,7.35,Metal,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,DON BORJA,3HU-2-1874,ESP000006078,EA2947,224106860.0,Yes,Llansa,07,06,NOT REPORTED,1977,Yes,OTB,NK,NK,24.2,102.4,330.0,T-12,1977.0,Yes,2820739,,,,,,0.0,Wood,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,GERMANS MAURA,3TA-1-3-91,ESP000022202,EA4596,224047490.0,Yes,Llansa,07,06,NOT REPORTED,1991,Yes,OTB,NK,NK,19.6,66.34,294.12,T-11,1991.0,Yes,,,,,,,4.41,Wood,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,FERRAN,3BA-3-2644,ESP000022347,EB6872,224248220.0,Yes,Mahón,05,07,NOT REPORTED,1991,Yes,OTB,NK,NK,15.5,21.54,91.91,T-11,1991.0,Yes,,,,,,,0.0,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,ESTEL D'ROSES,3BA-6-1-94,ESP000022867,EA9974,224095180.0,Yes,Rosas,06,07,NOT REPORTED,1994,Yes,OTB,NK,NK,22.9,65.16,158.82,T-11,1994.0,Yes,,,,,,,6.62,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,COSTA MEDITERRANIA,3BA-6-3-94,ESP000023017,EA7559,224096950.0,Yes,Llansa,07,06,NOT REPORTED,1995,Yes,OTB,NK,NK,25.0,110.0,235.29,T-12,1994.0,Yes,8734944,,,,,,22.06,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,ROSA SALADIE SEGUNDO,3TA-1-4-95,ESP000023198,EA2330,224070490.0,Yes,Rosas,06,07,NOT REPORTED,1996,Yes,OTB,NK,NK,21.6,56.74,333.0,T-11,1995.0,Yes,,,,,,,7.35,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,JOANET,3CP-3-6-95,ESP000023403,EA2308,224005270.0,Yes,Rosas,06,07,NOT REPORTED,1996,Yes,OTB,NK,NK,25.2,71.85,232.5,T-12,1996.0,Yes,2832500,,,,,,0.0,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,NORAI,3BA-3-2-98,ESP000024017,EA3514,224072140.0,Yes,Rosas,06,07,NOT REPORTED,1998,Yes,OTB,NK,NK,23.3,61.1,232.42,T-11,1998.0,Yes,2845868,,,,,,7.35,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,CATALINA GODO,3BA-6-1-99,ESP000024195,EA2435,224000390.0,Yes,Rosas,07,06,NOT REPORTED,1999,Yes,OTB,NK,NK,24.0,58.91,319.9,T-12,1998.0,Yes,,,,,,,0.0,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,MARGARITA Y ELENA,3TA-1-3-00,ESP000024811,EA4961,224014890.0,Yes,Rosas,06,07,NOT REPORTED,2000,Yes,OTB,NK,NK,25.0,79.64,213.24,T-12,2000.0,Yes,2840387,,,,,,6.62,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,NOU ESTEVE,3BA-6-6-02,ESP000025438,ECAY,224080940.0,Yes,Rosas,06,07,NOT REPORTED,2002,Yes,OTB,NK,NK,26.5,178.5,367.65,T-12,2002.0,Yes,8746131,,,,,,0.0,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,PALANDRIU,3BA-6-7-02,ESP000025440,EA6271,224072190.0,Yes,Llansa,07,06,NOT REPORTED,2002,Yes,OTB,NK,NK,24.9,81.15,347.79,T-12,2002.0,Yes,8799906,,,,,,0.0,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,ROCA FORNE,3TA-1-4-04,ESP000026181,EA8474,224303360.0,Yes,Rosas,06,07,NOT REPORTED,2004,Yes,OTB,NK,NK,16.4,22.27,81.64,T-11,2004.0,Yes,8797635,,,,,,0.0,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,PORT DE ROSES,3BA-6-2-05,ESP000026405,EA8262,224160250.0,Yes,Rosas,06,07,NOT REPORTED,2005,Yes,OTB,NK,NK,27.4,100.3,341.91,T-12,2005.0,Yes,8799140,,,,,,75.02,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
2025-08-18,Spain,DGMM,NOVA ARMONIA,3TA-1-5-05,ESP000026598,ECKP,224175320.0,Yes,Llansa,07,06,NOT REPORTED,2006,Yes,OTB,NK,NK,26.1,114.1,323.53,T-12,2005.0,Yes,8743701,,,,,,51.48,Fiberglass/Plastic,Yes,,,,,,,,,,2024-01-01 00:00:00,2024-12-31 00:00:00,,Single boat bottom otter trawls
